obstacle_count,success_rate_percent,average_trajectory_length
0,100.0,65.58333333333333
3,98.33333333333333,65.325
6,94.16666666666667,64.57916666666667
9,88.33333333333333,63.270833333333336
12,82.91666666666667,61.87916666666667
15,80.41666666666667,61.333333333333336
