obstacle_count,simulation_number,start_position,result,termination_reason,trajectory_length
3,12,11,target reached,goal_reached,66
3,12,12,target reached,goal_reached,66
3,13,1,target reached,goal_reached,67
3,13,2,target reached,goal_reached,66
3,13,3,target reached,goal_reached,65
3,13,4,target reached,goal_reached,65
3,13,5,target reached,goal_reached,66
3,13,6,target reached,goal_reached,66
3,13,7,target reached,goal_reached,66
3,13,8,target reached,goal_reached,67
3,13,9,target reached,goal_reached,66
3,13,10,target reached,goal_reached,65
3,13,11,target reached,goal_reached,74
3,13,12,target reached,goal_reached,65
3,14,1,target reached,goal_reached,65
3,14,2,target reached,goal_reached,65
3,14,3,target reached,goal_reached,65
3,14,4,target reached,goal_reached,65
3,14,5,target reached,goal_reached,67
3,14,6,target reached,goal_reached,66
3,14,7,target reached,goal_reached,66
3,14,8,target reached,goal_reached,67
3,14,9,target reached,goal_reached,67
3,14,10,target reached,goal_reached,67
3,14,11,target reached,goal_reached,66
3,14,12,target reached,goal_reached,65
3,15,1,target reached,goal_reached,65
3,15,2,target reached,goal_reached,65
3,15,3,target reached,goal_reached,65
3,15,4,target reached,goal_reached,65
3,15,5,target reached,goal_reached,67
3,15,6,target reached,goal_reached,65
3,15,7,target reached,goal_reached,66
3,15,8,target reached,goal_reached,69
3,15,9,target reached,goal_reached,65
3,15,10,target reached,goal_reached,65
3,15,11,target reached,goal_reached,67
3,15,12,target reached,goal_reached,65
3,16,1,target reached,goal_reached,65
3,16,2,target reached,goal_reached,65
3,16,3,target reached,goal_reached,66
3,16,4,target reached,goal_reached,65
3,16,5,target reached,goal_reached,66
3,16,6,target reached,goal_reached,68
3,16,7,target reached,goal_reached,66
3,16,8,target reached,goal_reached,66
3,16,9,target reached,goal_reached,66
3,16,10,target reached,goal_reached,65
3,16,11,target reached,goal_reached,66
3,16,12,target reached,goal_reached,65
3,17,1,target reached,goal_reached,65
3,17,2,target reached,goal_reached,65
3,17,3,target reached,goal_reached,68
3,17,4,target not reached,collision,31
3,17,5,target reached,goal_reached,65
3,17,6,target reached,goal_reached,66
3,17,7,target reached,goal_reached,66
3,17,8,target reached,goal_reached,68
3,17,9,target reached,goal_reached,65
3,17,10,target reached,goal_reached,65
3,17,11,target reached,goal_reached,66
3,17,12,target reached,goal_reached,65
3,18,1,target reached,goal_reached,65
3,18,2,target reached,goal_reached,65
3,18,3,target reached,goal_reached,65
3,18,4,target reached,goal_reached,65
3,18,5,target reached,goal_reached,66
3,18,6,target reached,goal_reached,66
3,18,7,target reached,goal_reached,66
3,18,8,target reached,goal_reached,70
3,18,9,target reached,goal_reached,66
3,18,10,target reached,goal_reached,65
3,18,11,target reached,goal_reached,66
3,18,12,target reached,goal_reached,65
3,19,1,target reached,goal_reached,65
3,19,2,target reached,goal_reached,65
3,19,3,target reached,goal_reached,65
3,19,4,target reached,goal_reached,65
3,19,5,target reached,goal_reached,66
3,19,6,target reached,goal_reached,66
3,19,7,target reached,goal_reached,68
3,19,8,target reached,goal_reached,67
